"#file:///F:/HYBRID Dance DATA for processing/Video/SEGMENTED/30ZoomSidebySide/30Zoom_SidebySide_Rehearsal_Panasonic_25fps.mp4 -- offset: 0, duration: 00:49:20.280 / 2960.280 / 2960280, ms per sample: 40.0"
"Begin Time - hh:mm:ss.ms","Begin Time - ss.msec","Begin Time - PAL","End Time - hh:mm:ss.ms","End Time - ss.msec","End Time - PAL","Duration - hh:mm:ss.ms","Duration - ss.msec","Duration - PAL","Laughter","Segmantation"
00:00:10.800,10.8,00:00:10:20,00:00:26.361,26.361,00:00:26:09,00:00:15.561,15.561,00:00:15:14,,"Searching for the Material  [a158]"
00:00:26.361,26.361,00:00:26:09,00:00:30.549,30.549,00:00:30:13,00:00:04.188,4.188,00:00:04:04,"Ole solo, chuckle [a1]","Searching for the Material  [a158]"
00:00:30.549,30.549,00:00:30:13,00:02:09.627,129.627,00:02:09:15,00:01:39.078,99.078,00:01:39:01,,"Searching for the Material  [a158]"
00:02:09.627,129.627,00:02:09:15,00:02:13.436,133.436,00:02:13:10,00:00:03.809,3.809,00:00:03:20,"Ole solo,chuckle, laughing their position, NOVELTY [a2]","Searching for the Material  [a158]"
00:02:13.436,133.436,00:02:13:10,00:02:30.180,150.18,00:02:30:04,00:00:16.744,16.744,00:00:16:18,,"Searching for the Material  [a158]"
00:02:30.180,150.18,00:02:30:04,00:02:41.300,161.3,00:02:41:07,00:00:11.120,11.12,00:00:11:03,"Ole laughing at Lisa's suggestion, contagious,Lisa joins, NOVELTY [a3]","Searching for the Material  [a158]"
00:02:41.300,161.3,00:02:41:07,00:02:42.000,162.0,00:02:42:00,00:00:00.700,0.7,00:00:00:17,"Ole laughing at Lisa's suggestion, contagious,Lisa joins, NOVELTY [a3]",
00:02:42.000,162.0,00:02:42:00,00:02:50.037,170.037,00:02:50:00,00:00:08.037,8.037,00:00:08:00,"Ole laughing at Lisa's suggestion, contagious,Lisa joins, NOVELTY [a3]","Searching for the material ballet [a159]"
00:02:50.037,170.037,00:02:50:00,00:04:12.000,252.0,00:04:12:00,00:01:21.963,81.963,00:01:21:24,,"Searching for the material ballet [a159]"
00:04:13.000,253.0,00:04:13:00,00:04:43.000,283.0,00:04:43:00,00:00:30.000,30.0,00:00:30:00,,"Searching for the Material, fix point hand [a160]"
00:04:44.000,284.0,00:04:44:00,00:06:22.021,382.021,00:06:22:00,00:01:38.021,98.021,00:01:38:00,,"Searching for the Material, action-reaction [a161]"
00:06:22.021,382.021,00:06:22:00,00:06:25.606,385.606,00:06:25:15,00:00:03.585,3.585,00:00:03:14,"Ole,Lisa chuckle together contagious, NOVELTY [a5]","Searching for the Material, action-reaction [a161]"
00:06:25.606,385.606,00:06:25:15,00:06:36.100,396.1,00:06:36:02,00:00:10.494,10.494,00:00:10:12,,"Searching for the Material, action-reaction [a161]"
00:06:36.300,396.3,00:06:36:07,00:07:04.021,424.021,00:07:04:00,00:00:27.721,27.721,00:00:27:18,,"Searching for the Material floor [a162]"
00:07:04.021,424.021,00:07:04:00,00:07:10.191,430.191,00:07:10:04,00:00:06.170,6.17,00:00:06:04,"Ole solo laughs. Right-left leg confusion. Ole verbal, MISTAKE,  [a6]","Searching for the Material floor [a162]"
00:07:10.191,430.191,00:07:10:04,00:08:16.100,496.1,00:08:16:02,00:01:05.909,65.909,00:01:05:22,,"Searching for the Material floor [a162]"
00:08:16.300,496.3,00:08:16:07,00:09:04.400,544.4,00:09:04:10,00:00:48.100,48.1,00:00:48:02,,"Searching for the Material, hands are on surface [a163]"
00:09:04.600,544.6,00:09:04:15,00:09:13.400,553.4,00:09:13:10,00:00:08.800,8.8,00:00:08:20,,"Searching for the Material, sound [a164]"
00:09:13.400,553.4,00:09:13:10,00:10:03.300,603.3,00:10:03:07,00:00:49.900,49.9,00:00:49:22,,"Searching for the Material, spot chasing in the space, Ole on the floor [a165]"
