"#file:///F:/HYBRID Dance DATA for processing/Video/SEGMENTED/CoLocatedSegmented/CoLocated_Rehearsal_Panasonic_Cut_25fps.mp4 -- offset: 0, duration: 00:56:22.360 / 3382.360 / 3382360, ms per sample: 40.0",,,,,,,,,,
Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - PAL,Segmentation,Seg_code
00:00:00.000,0.0,00:00:00:00,00:03:30.200,210.2,00:03:30:05,00:03:30.200,210.2,00:03:30:05,Searching for material  [a491],S
00:03:30.250,210.25,00:03:30:06,00:06:25.000,385.0,00:06:25:00,00:02:54.750,174.75,00:02:54:18,Repeating from top  [a492],R
00:06:25.100,385.1,00:06:25:02,00:07:03.100,423.1,00:07:03:02,00:00:38.000,38.0,00:00:38:00,Repeating from top verbal  [a493],R_V
00:07:03.100,423.1,00:07:03:02,00:08:31.800,511.8,00:08:31:20,00:01:28.700,88.7,00:01:28:17,Repeating from top  [a494],R
00:08:31.900,511.9,00:08:31:22,00:09:50.300,590.3,00:09:50:07,00:01:18.400,78.4,00:01:18:10,Searching for material  [a495],S
00:09:50.300,590.3,00:09:50:07,00:10:13.000,613.0,00:10:13:00,00:00:22.700,22.7,00:00:22:17,Cleaning the material [a496],C
00:10:13.000,613.0,00:10:13:00,00:12:12.000,732.0,00:12:12:00,00:01:59.000,119.0,00:01:59:00,Searching for material [a497],S
00:12:14.235,734.235,00:12:14:05,00:14:29.500,869.5,00:14:29:12,00:02:15.265,135.265,00:02:15:06,Repeating from top [a498],R
00:14:29.600,869.6,00:14:29:15,00:15:30.000,930.0,00:15:30:00,00:01:00.400,60.4,00:01:00:10,Searching for material [a499],S
00:15:30.100,930.1,00:15:30:02,00:16:06.500,966.5,00:16:06:12,00:00:36.400,36.4,00:00:36:10,Cleaning the material [a500],C
00:16:06.600,966.6,00:16:06:15,00:16:25.100,985.1,00:16:25:02,00:00:18.500,18.5,00:00:18:12,Searching for material [a501],S
