"#file:///F:/HYBRID Dance DATA for processing/Video/SEGMENTED/CoLocatedSegmented/CoLocated_Rehearsal_Panasonic_Cut_25fps.mp4 -- offset: 0, duration: 00:56:22.360 / 3382.360 / 3382360, ms per sample: 40.0"
"Begin Time - hh:mm:ss.ms","Begin Time - ss.msec","Begin Time - PAL","End Time - hh:mm:ss.ms","End Time - ss.msec","End Time - PAL","Duration - hh:mm:ss.ms","Duration - ss.msec","Duration - PAL","Laughter","Segmentation"
00:00:00.000,0.0,00:00:00:00,00:01:15.460,75.46,00:01:15:11,00:01:15.460,75.46,00:01:15:11,,"Searching for material  [a491]"
00:01:15.460,75.46,00:01:15:11,00:01:19.690,79.69,00:01:19:17,00:00:04.230,4.23,00:00:04:05,"Together,contagious,While walking, chuckle, ENJOYMENT [a1]","Searching for material  [a491]"
00:01:19.690,79.69,00:01:19:17,00:03:30.200,210.2,00:03:30:05,00:02:10.510,130.51,00:02:10:12,,"Searching for material  [a491]"
00:03:30.250,210.25,00:03:30:06,00:03:30.840,210.84,00:03:30:21,00:00:00.590,0.59,00:00:00:14,,"Repeating from top  [a492]"
00:03:30.840,210.84,00:03:30:21,00:03:35.410,215.41,00:03:35:10,00:00:04.570,4.57,00:00:04:14,"Lisa solo, with VERBAL exchange,AGREEMENT [a2]","Repeating from top  [a492]"
00:03:35.410,215.41,00:03:35:10,00:03:38.753,218.753,00:03:38:18,00:00:03.343,3.343,00:00:03:08,,"Repeating from top  [a492]"
00:03:38.753,218.753,00:03:38:18,00:03:41.632,221.632,00:03:41:15,00:00:02.879,2.879,00:00:02:21,"Ole solo, Chuckle, MISTAKE [a3]","Repeating from top  [a492]"
00:03:41.632,221.632,00:03:41:15,00:04:22.010,262.01,00:04:22:00,00:00:40.378,40.378,00:00:40:09,,"Repeating from top  [a492]"
00:04:22.010,262.01,00:04:22:00,00:04:35.010,275.01,00:04:35:00,00:00:13.000,13.0,00:00:13:00,"Together,simultaneous, MISTAKE,while walking [a4]","Repeating from top  [a492]"
00:04:35.010,275.01,00:04:35:00,00:04:39.409,279.409,00:04:39:10,00:00:04.399,4.399,00:00:04:09,,"Repeating from top  [a492]"
00:04:39.409,279.409,00:04:39:10,00:04:46.777,286.777,00:04:46:19,00:00:07.368,7.368,00:00:07:09,"Together, contagious from Lisa to Ole, Ole MISTAKE [a5]","Repeating from top  [a492]"
00:04:46.777,286.777,00:04:46:19,00:06:12.970,372.97,00:06:12:24,00:01:26.193,86.193,00:01:26:04,,"Repeating from top  [a492]"
00:06:12.970,372.97,00:06:12:24,00:06:21.990,381.99,00:06:21:24,00:00:09.020,9.02,00:00:09:00,"Together,contagious, Unsure what is next, AGREEMENT [a6]","Repeating from top  [a492]"
00:06:21.990,381.99,00:06:21:24,00:06:22.990,382.99,00:06:22:24,00:00:01.000,1.0,00:00:01:00,,"Repeating from top  [a492]"
