TIME,VALUE,DURATION,LABEL,Who,Order,Mistake,Negociation,Communicating difficulty,Novelty and Surprise,Joyful,Joke,In Chatter,External,Laughter type,Disruptiveness,Self-involvement,Duration,Description
10.33287982,1,2.438095238,After instructor's OK...,subset,"after instructor ""OK""",,,,1,,,,,,,,,
15.09297052,1,4.614965986,Instructor laugh response,group,"after ""Up for a little dancing",,,,,,1,,,nervous polite,partial,yes,1,"After instructor says ""So I hear you are all up for a little dancing session"""
24.20680272,1,1.142857143,Laugh response trepidation,subset,after instructor,,,1,,,,,,polite nervous,no,unknown,1,"After instructor stats that the group will be dancing ""Holling"" (style of dance). The laughter isn't strong."
32.79818594,1,2.430839002,Laugh response social trepidation,group,"after ""find someone you would like to dance with""",,,1,,,,,,polite nervous,partial,unknown,1,"After instructor says ""you might want to find someone to dance with, someone you would like to dance with"""
37.30285714,1,2.363718821,Laugh at task to find partner,group,After realising they need to partner now,1,,,,,,,,more trepidation,partial,yes,1,Reaction to the effort to pair up.
48.5877551,1,1.393197279,Solo laugh in chatter,solo,while finding partner,,,,,,,1,,,,,,
73.66530612,1,2.263945578,Solo laugh in chatter,solo,while finding partner,,,,,,,1,,,,,,
89.62902494,1,0.928798186,Solo laugh in chatter,solo,while finding partner,,,,,,,1,,,,,,
103.2126984,1,2.320181406,"Laugh at instruction ""you are me""",subset,after iinstruction,,,,,,1,,,titter,partial,yes,1,"After instructor identifies with the leads in each pair ""You are me!"""
114.6049887,1,3.700680272,Solo giggles,solo,During assignment of roles,,1,,,,,,,giggle,no,yes,2,Giggle in crowd between instructor statements.
133.2244898,1,0.870748299,Solo laughter in chatter,solo,During attempt to step together,,,,,,,1,,,,,,
168.437551,1,12.9723356,Chatter and laughter,subset,During attempt,,,,,,,1,,scattered laughter,no,unknown,1,"While attempting to move into close hold, laughter throughout group along side chatter"
191.4485261,1,0.986848073,Solo laughter in chatter,solo,During attempt,,,,,,,1,,,,,,
216.9759637,1,1.828571429,Laughter solo reaction,solo,after demonstraion,,,1,,,,,,,,,,
221.8666667,1,0.928798186,Laughter solo reaction,solo,after demonstraion,,,,1,,,,,titter,no,yes,1,After new hold is demonstrated
229.0503401,1,3.526530612,Laughter attempting new position,subset,During attempt at new hold,,,1,,,,1,,scattered laughter,no,yes,2,Laughter through out as group tries to dance
238.3092971,1,6.247619048,Laughter and chatter,subset,During attempt at new hold,,,,,,,1,,scattered laughter,no,unknown,,Laughter mixed with talking
256.3628118,1,1.552834467,Scattered laughter and chatter,solo,During attempt at new hold,,,,,,,1,,scattered laughter,no,yes,,Laughter mixed with talking
262.124263,1,1.393197279,Scattered laughter and chatter,solo,During attempt at new hold,,,,,,,1,,scattered laughter,no,unknown,1,Solo laughter prominent in recording from one of the dancers
