TIME,LABEL,StartTime,EndTime,Dur,Trial_Type,Tempo
99.464126984,d1,99.464126984,109.714285714,10.250158730000000,Demo,
114.366984127,d2,114.366984127,120.533333333,6.166349206000010,Demo,56.0
134.694603175,d3,134.694603175,140.982857143,6.288253967999990,Demo,
154.940952381,d4,154.940952381,164.154920635,9.213968254000010,Demo,62.0
168.238730159,d5,168.238730159,173.612698413,5.373968254000010,Demo,68.0
175.654603175,d6,175.654603175,179.006984127,3.3523809520000000,Demo,64.0
198.521904762,p1,198.521904762,212.195555556,13.673650794000000,Called,90.0
221.328253968,p2,221.328253968,235.672380952,14.344126984000000,Called,86.0
241.574603175,p3,241.574603175,256.386031746,14.811428571000000,Called,84.0
273.036190476,d7,273.036190476,278.349206349,5.3130158729999800,Demo,
311.497142857,p4,311.497142857,323.474285714,11.977142857000000,Called,110.0
344.726349206,p5,344.726349206,357.556825397,12.830476191000000,Called,100.0
384.761904762,p6,384.761904762,396.017777778,11.25587301600000,Called,108.0
474.514285714,p7,474.514285714,483.972063492,9.457777778000040,Called,130.0
483.972063492,p8,483.972063492,493.41968254,9.447619047999980,Called,125.0
493.41968254,p9,493.41968254,503.486984127,10.067301587000000,Called,116.0
560.985396825,c1,560.985396825,572.667936508,11.682539683000100,Music+Called,100.0
572.667936508,c2,572.667936508,584.542040816,11.874104308000000,Music+Called,100.0
584.542040816,c3,584.542040816,596.378412698,11.83637188200000,Music+Called,100.0
596.378412698,c4,596.378412698,608.182857143,11.804444444999900,Music+Called,100.0
608.182857143,c5,608.182857143,619.784126984,11.601269841000000,Music+Called,100.0
679.568253968,c6,679.568253968,688.396190476,8.827936507999990,Music+Called,134.0
688.396190476,c7,688.396190476,697.213968254,8.817777777999940,Music+Called,134.0
697.213968254,c8,697.213968254,706.102857143,8.8888888890001,Music+Called,134.0
706.102857143,c9,706.102857143,714.86984127,8.766984127,Music+Called,134.0
714.86984127,m1,714.86984127,723.768888889,8.89904761899993,Music,134.0
723.768888889,m2,723.768888889,732.647619048,8.878730159000040,Music,134.0
732.647619048,m3,732.647619048,741.678730159,9.031111110999970,Music,134.0
741.678730159,m4,741.678730159,750.328163265,8.649433105999950,Music,134.0
