TIME,LABEL,StartTime,EndTime,Dur,Trial_Type,Tempo
0.00,v1,0.00,99.464126984,99.464126984,Verbal,
99.464126984,d1-2,99.464126984,120.533333333,21.069206349,Demo,
120.533333333,v2,120.533333333,134.694603175,14.161269842,Verbal,
134.694603175,d3,134.694603175,140.982857143,6.288253968,Demo,
140.982857143,v3,140.982857143,154.940952381,13.958095238,Verbal,
154.940952381,d4-6,154.940952381,179.006984127,24.066031746,Demo,
179.006984127,v4,179.006984127,198.521904762,19.539047619,Verbal,
198.521904762,c1,198.521904762,212.195555556,13.673650794,Practice,90.0
212.195555556,v5,212.195555556,221.328253968,9.132698412,Verbal,
221.328253968,c2-3,221.328253968,256.386031746,35.057777778,Practice,86.0
256.386031746,v6,256.386031746,273.036190476,16.650158730,Verbal,
273.036190476,d7,273.036190476,278.349206349,5.313015873,Demo,
278.349206349,v7,278.349206349,311.497142857,33.147936508,Verbal,
311.497142857,c4,311.497142857,323.474285714,11.977142857,Practice,110.0
323.474285714,v8,323.474285714,344.726349206,21.252063492,Verbal,
344.726349206,c5,344.726349206,357.556825397,12.830476191,Practice,100.0
357.556825397,v9,357.556825397,384.761904762,27.205079365,Verbal,
384.761904762,c6,384.761904762,396.017777778,11.255873016,Practice,108.0
396.017777778,v10,396.017777778,474.514285714,78.496507936,Verbal,
474.514285714,c7-9,474.514285714,503.486984127,28.972698413,Practice,130.0
503.486984127,v11,503.486984127,560.985396825,57.498412698,Verbal,
560.985396825,m1-5,560.985396825,619.784126984,58.798730159,Music,100.0
619.784126984,v12,619.784126984,679.568253968,59.784126984,Verbal,
679.568253968,m6-9,679.568253968,714.86984127,35.301587302,Music,134.0
714.86984127,n1-4,714.86984127,750.328163265,35.458321995,Music,134.0
