"#file:///F:/HYBRID Dance DATA for processing/Video/SEGMENTED/01LoLaSidebySide/LoLa_SidebySide_Rehearsal_Panasonic_25fps.mp4 -- offset: 0, duration: 00:42:25.719 / 2545.719 / 2545719, ms per sample: 40.0"
"Begin Time - hh:mm:ss.ms","Begin Time - ss.msec","Begin Time - PAL","End Time - hh:mm:ss.ms","End Time - ss.msec","End Time - PAL","Duration - hh:mm:ss.ms","Duration - ss.msec","Duration - PAL","Laughter","Segmentation"
00:00:04.900,4.9,00:00:04:22,00:17:00.200,1020.2,00:17:00:05,00:16:55.300,1015.3,00:16:55:07,,"Searching for the Material , robots [a182]"
00:17:02.000,1022.0,00:17:02:00,00:19:32.000,1172.0,00:19:32:00,00:02:30.000,150.0,00:02:30:00,,"Searching for the Material, dissolving robots [a183]"
00:19:32.000,1172.0,00:19:32:00,00:20:58.000,1258.0,00:20:58:00,00:01:26.000,86.0,00:01:26:00,,"Searching for the Material, up and down [a184]"
00:20:58.000,1258.0,00:20:58:00,00:21:23.000,1283.0,00:21:23:00,00:00:25.000,25.0,00:00:25:00,,"Marker loss [a185]"
00:21:23.000,1283.0,00:21:23:00,00:22:44.000,1364.0,00:22:44:00,00:01:21.000,81.0,00:01:21:00,,"Searching for the Material, corners [a186]"
00:22:44.000,1364.0,00:22:44:00,00:23:52.000,1432.0,00:23:52:00,00:01:08.000,68.0,00:01:08:00,,"Searching for the Material, Holding hands [a187]"
00:23:52.000,1432.0,00:23:52:00,00:24:25.909,1465.909,00:24:25:22,00:00:33.909,33.909,00:00:33:22,"Lisa starts, contagious, laughing at position , DIFFICULTY LEVEL [a1]","Searching for the Material, Holding hands [a187]"
00:24:25.909,1465.909,00:24:25:22,00:25:00.769,1500.769,00:25:00:19,00:00:34.860,34.86,00:00:34:21,,"Searching for the Material, Holding hands [a187]"
00:25:00.769,1500.769,00:25:00:19,00:25:15.000,1515.0,00:25:15:00,00:00:14.231,14.231,00:00:14:05,"Laughing at position (hands are mixed),simultanoues, DIFFICULTY LEVEL [a2]","Searching for the Material, Holding hands [a187]"
00:25:15.000,1515.0,00:25:15:00,00:27:29.923,1649.923,00:27:29:23,00:02:14.923,134.923,00:02:14:23,,"Searching for the Material, Holding hands [a187]"
00:27:29.923,1649.923,00:27:29:23,00:27:40.000,1660.0,00:27:40:00,00:00:10.077,10.077,00:00:10:01,"Laughter,contagious, DIFFICULTY LEVEL [a3]","Searching for the Material, Holding hands [a187]"
00:27:40.000,1660.0,00:27:40:00,00:28:04.000,1684.0,00:28:04:00,00:00:24.000,24.0,00:00:24:00,,"Searching for the Material, Holding hands [a187]"
00:28:05.000,1685.0,00:28:05:00,00:28:39.923,1719.923,00:28:39:23,00:00:34.923,34.923,00:00:34:23,,"Searching for the Material, controling the head [a188]"
00:28:39.923,1719.923,00:28:39:23,00:28:50.000,1730.0,00:28:50:00,00:00:10.077,10.077,00:00:10:01,"Lisa solo,ENJOYMENT while walking [a4]","Searching for the Material, controling the head [a188]"
00:28:50.000,1730.0,00:28:50:00,00:28:55.950,1735.95,00:28:55:23,00:00:05.950,5.95,00:00:05:23,,"Searching for the Material, controling the head [a188]"
00:28:55.950,1735.95,00:28:55:23,00:29:11.000,1751.0,00:29:11:00,00:00:15.050,15.05,00:00:15:01,"contagious,AGREEMENT, walking in the circle [a5]","Searching for the Material, controling the head [a188]"
00:29:11.000,1751.0,00:29:11:00,00:29:23.285,1763.285,00:29:23:07,00:00:12.285,12.285,00:00:12:07,,"Searching for the Material, controling the head [a188]"
00:29:23.285,1763.285,00:29:23:07,00:29:33.092,1773.092,00:29:33:02,00:00:09.807,9.807,00:00:09:20,"contagious,AGREEMENT [a6]","Searching for the Material, controling the head [a188]"
00:29:33.092,1773.092,00:29:33:02,00:29:40.018,1780.018,00:29:40:00,00:00:06.926,6.926,00:00:06:23,,"Searching for the Material, controling the head [a188]"
00:29:40.018,1780.018,00:29:40:00,00:29:44.000,1784.0,00:29:44:00,00:00:03.982,3.982,00:00:03:24,"contagious, NOVELTY and SUPRISE, VERBAL [a7]","Searching for the Material, controling the head [a188]"
00:29:44.000,1784.0,00:29:44:00,00:30:14.018,1814.018,00:30:14:00,00:00:30.018,30.018,00:00:30:00,"contagious, NOVELTY and SUPRISE, VERBAL [a7]","Break, laughter, verbal [a189]"
00:30:14.018,1814.018,00:30:14:00,00:30:24.000,1824.0,00:30:24:00,00:00:09.982,9.982,00:00:09:24,,"Break, laughter, verbal [a189]"
00:30:27.000,1827.0,00:30:27:00,00:32:41.302,1961.302,00:32:41:07,00:02:14.302,134.302,00:02:14:07,,"Searching for the Material, floor,rolling ball [a190]"
00:32:41.302,1961.302,00:32:41:07,00:32:50.709,1970.709,00:32:50:17,00:00:09.407,9.407,00:00:09:10,"Solo, Ole laughs at Lisaa response,chuckle,NOVELTY and SUPRISE [a8]","Searching for the Material, floor,rolling ball [a190]"
00:32:50.709,1970.709,00:32:50:17,00:33:39.567,2019.567,00:33:39:14,00:00:48.858,48.858,00:00:48:21,,"Searching for the Material, floor,rolling ball [a190]"
