,Lisa,Ole
0.0,-339.4,-303.1250000000001
0.1,-339.0,-284.99999999999966
0.2,-346.89999999999975,-287.74999999999983
0.30000000000000004,-343.9999999999995,-288.02500000000026
0.4,-336.8000000000001,-292.09999999999997
0.5,-339.0,-299.4499999999995
0.6000000000000001,-326.66666666666686,-282.4000000000001
0.7000000000000001,-345.0,-313.90000000000055
0.8,-336.1000000000001,-308.0
0.9,-331.8499999999998,-284.4000000000002
1.0,-327.7999999999998,-293.8749999999999
1.1,-330.26666666666665,-304.0
1.2000000000000002,-320.0,-299.29999999999967
1.3,-326.4000000000006,-284.4000000000001
1.4000000000000001,-325.6250000000002,-285.3000000000002
1.5,-329.5000000000003,-291.39999999999975
1.6,-328.26666666666665,-291.10000000000014
1.7000000000000002,-328.82499999999993,-299.52500000000003
1.8,-328.0,-291.0487804878048
1.9000000000000001,-333.30000000000064,-296.0
2.0,-331.10000000000025,-297.1
2.1,-332.03333333333313,-312.0
2.2,-332.0,-295.00000000000205
2.3000000000000003,-333.5,-296.85
2.4000000000000004,-339.0,-285.0
2.5,-356.2,-288.7999999999996
2.6,-355.0,-282.2
2.7,-335.899999999998,-289.0
2.8000000000000003,-339.7999999999991,-287.49999999999966
2.9000000000000004,-335.6000000000004,-290.0499999999992
3.0,-339.0,-291.3250000000006
3.1,-333.8333333333339,-288.6999999999994
3.2,-344.75000000000165,-291.9333333333335
3.3000000000000003,-339.4249999999994,-283.4000000000009
3.4000000000000004,-332.8250000000006,-277.8999999999996
3.5,-339.0,-283.9249999999989
3.6,-324.500000000001,-280.9999999999991
3.7,-335.62500000000085,-279.13333333333304
3.8000000000000003,-327.9999999999973,-274.40000000000134
3.9000000000000004,-315.80487804878095,-288.2999999999993
4.0,-323.80000000000047,-287.59999999999985
4.1000000000000005,-320.7499999999982,-281.29999999999933
4.2,-320.0,-296.2666666666652
4.3,-323.29999999999995,-285.6000000000003
4.4,-341.90000000000026,-291.5000000000007
4.5,-337.4,-282.9999999999991
4.6000000000000005,-329.87499999999875,-289.5999999999994
4.7,-331.5999999999983,-283.93333333333584
4.800000000000001,-328.4000000000008,-299.47499999999815
4.9,-340.39999999999867,-296.0
5.0,-336.72499999999934,-295.1
5.1000000000000005,-328.5999999999949,-285.274999999998
