,Lisa,Ole
0.0,-908.2,-943.6
0.1,-905.9333333333334,-940.0
0.2,-901.0,-941.0
0.30000000000000004,-897.8000000000002,-945.1000000000001
0.4,-920.0,-933.8000000000001
0.5,-905.1,-935.5999999999996
0.6000000000000001,-909.0,-935.6
0.7000000000000001,-914.0,-933.3999999999996
0.8,-902.1000000000001,-933.2000000000003
0.9,-903.9999999999993,-929.1999999999996
1.0,-909.2000000000002,-935.5
1.1,-913.5333333333333,-932.0
1.2000000000000002,-910.9512195121953,-935.1999999999996
1.3,-905.0,-933.1999999999998
1.4000000000000001,-905.9999999999999,-939.3999999999996
1.5,-905.5,-942.4000000000004
1.6,-899.1333333333333,-935.6000000000003
1.7000000000000002,-896.7,-932.1999999999999
1.8,-901.0,-945.9512195121953
1.9000000000000001,-905.4000000000004,-940.0
2.0,-898.7999999999995,-933.1
2.1,-914.5000000000003,-939.1
2.2,-897.0,-939.7333333333339
2.3000000000000003,-903.0,-933.8
2.4000000000000004,-902.800000000001,-935.4000000000013
2.5,-898.2,-933.4000000000001
2.6,-902.8666666666658,-942.8
2.7,-913.0,-938.6666666666674
2.8000000000000003,-901.7999999999992,-941.5000000000003
2.9000000000000004,-897.0,-940.5999999999996
3.0,-902.4999999999999,-932.6000000000005
3.1,-912.3333333333331,-936.0
3.2,-897.0,-936.8000000000005
3.3000000000000003,-905.0,-940.0
3.4000000000000004,-909.0,-942.2000000000008
3.5,-903.1999999999999,-934.3000000000006
3.6,-893.2666666666672,-935.9999999999995
3.7,-898.7999999999995,-937.4666666666667
3.8000000000000003,-899.9999999999993,-935.0999999999998
3.9000000000000004,-896.9024390243904,-945.6000000000005
4.0,-918.5749999999998,-936.0
4.1000000000000005,-905.0,-943.7000000000006
4.2,-903.8000000000003,-940.2666666666684
4.3,-911.5999999999999,-940.6000000000004
4.4,-909.0,-937.4999999999993
4.5,-911.4,-931.0000000000005
4.6000000000000005,-901.0,-933.7999999999982
4.7,-909.8000000000008,-932.0
4.800000000000001,-905.4000000000008,-939.6999999999989
4.9,-901.0,-933.7999999999995
5.0,-909.0999999999989,-938.8
5.1000000000000005,-901.7999999999992,-947.1000000000005
5.2,-905.0,-936.0
5.300000000000001,-897.2000000000013,-936.0000000000009
5.4,-908.0000000000005,-942.0999999999993
5.5,-903.199999999999,-935.0999999999996
