,Lisa,Ole
0.0,-973.9000000000012,-901.9999999999999
0.1,-959.0,-884.4
0.2,-973.6999999999992,-886.8666666666668
0.30000000000000004,-961.8999999999997,-922.8999999999994
0.4,-959.0000000000011,-894.6
0.5,-979.0,-905.0
0.6000000000000001,-979.0,-906.1999999999997
0.7000000000000001,-965.1999999999989,-909.0
0.8,-974.9999999999989,-905.0
0.9,-955.100000000001,-901.0
1.0,-971.0,-903.8000000000003
1.1,-949.65,-904.4000000000001
1.2000000000000002,-967.0,-911.133333333333
1.3,-956.875,-905.4000000000002
1.4000000000000001,-966.5000000000001,-911.3000000000004
1.5,-977.8000000000003,-914.3000000000004
1.6,-955.6999999999994,-895.0999999999993
1.7000000000000002,-967.0,-898.2000000000019
1.8,-962.7999999999994,-986.6999999999996
1.9000000000000001,-959.0,-976.6999999999996
2.0,-963.9749999999993,-917.0
2.1,-963.1000000000003,-890.3999999999995
2.2,-967.0,-874.533333333332
2.3000000000000003,-963.1999999999987,-878.8250000000016
2.4000000000000004,-964.8000000000013,-941.0999999999982
2.5,-968.0,-925.3000000000004
2.6,-967.3999999999999,-917.5249999999999
2.7,-964.7000000000003,-918.6999999999995
2.8000000000000003,-969.8750000000011,-923.7999999999992
2.9000000000000004,-972.2000000000008,-926.2000000000005
3.0,-960.0000000000011,-925.2
3.1,-969.500000000002,-917.5999999999997
3.2,-950.5999999999996,-935.2000000000019
3.3000000000000003,-952.0,-924.4000000000017
3.4000000000000004,-956.025000000001,-920.8500000000008
3.5,-959.0,-906.2
3.6,-970.2000000000005,-902.5999999999991
3.7,-956.0,-903.3999999999991
3.8000000000000003,-961.4250000000012,-905.0
3.9000000000000004,-956.0,-895.2000000000005
4.0,-959.0,-899.8
4.1000000000000005,-963.0,-896.2000000000008
4.2,-954.3999999999983,-894.0666666666665
4.3,-956.0,-897.0
4.4,-948.0,-894.8999999999993
4.5,-959.2999999999994,-887.2000000000013
4.6000000000000005,-945.2000000000008,-891.6999999999966
4.7,-864.8000000000009,-893.0
4.800000000000001,-866.0,-889.0
4.9,-889.2000000000013,-885.0
5.0,-920.0,-893.0
5.1000000000000005,-859.6999999999989,-891.6999999999966
5.2,-866.3000000000002,-886.4666666666667
5.300000000000001,-821.7999999999973,-885.1000000000015
5.4,-827.0,-893.0
5.5,-840.4250000000004,-888.3000000000019
5.6000000000000005,-844.5000000000024,-885.9999999999986
5.7,-838.9999999999991,-889.0
5.800000000000001,-842.674999999998,-874.0000000000031
5.9,-848.2000000000005,-887.0000000000009
6.0,-844.8000000000009,-889.9999999999995
6.1000000000000005,-826.6000000000009,-877.0000000000014
6.2,-834.6999999999999,-881.0
6.300000000000001,-831.0,-885.0
6.4,-831.6000000000005,-877.5000000000016
6.5,-825.4999999999998,-881.9999999999995
6.6000000000000005,-825.4999999999989,-892.0000000000014
