,Lisa,Ole
0.0,-191.0,-285.0
0.1,-190.30000000000055,-285.7999999999971
0.2,-207.0,-261.89999999999543
0.30000000000000004,-193.53333333333296,-279.2999999999981
0.4,-198.9999999999917,-269.0
0.5,-203.00000000000355,-263.6000000000002
0.6000000000000001,-201.00000000000088,-257.5000000000009
0.7000000000000001,-176.0,-230.0
0.8,-161.33333333333195,-193.5999999999996
0.9,-159.99999999999855,-210.30000000000268
1.0,-124.99999999999645,-174.9749999999983
1.1,-131.00000000000088,-172.0
1.2000000000000002,-126.99999999999467,-179.0
1.3,-125.0,-172.0
1.4000000000000001,-124.99999999999845,-168.0
1.5,-102.99999999999822,-174.00000000000176
1.6,-138.75000000000077,-168.0999999999976
1.7000000000000002,-152.99999999999733,-164.0
1.8,-161.200000000001,-156.80000000000075
1.9000000000000001,-233.70000000000547,-149.40000000000293
2.0,-218.0,-161.70000000000053
2.1,-192.80000000000123,-178.7000000000022
2.2,-230.70000000000078,-208.00000000000267
2.3000000000000003,-212.2000000000013,-196.00000000000355
2.4000000000000004,-218.0,-225.19999999999501
2.5,-211.0,-231.19999999999786
2.6,-210.09999999999937,-239.39999999999893
2.7,-212.80000000000052,-260.749999999992
2.8000000000000003,-239.2000000000013,-269.0
2.9000000000000004,-238.0,-259.1000000000016
3.0,-255.9749999999903,-257.0
3.1,-246.0,-268.99999999999466
3.2,-241.5999999999984,-262.90000000000106
3.3000000000000003,-215.0,-261.2999999999901
3.4000000000000004,-190.80000000000214,-243.80000000000214
3.5,-152.39999999999537,-262.7999999999961
3.6,-113.0,-263.70000000000215
3.7,-143.5999999999984,-255.2000000000012
3.8000000000000003,-127.13333333333657,-229.60000000000062
3.9000000000000004,-109.39999999999574,-236.49999999999866
4.0,-123.59999999999307,-254.0
4.1000000000000005,-124.19999999999875,-199.00000000000978
4.2,-118.19999999999946,-165.30000000000098
4.3,-131.9333333333323,-142.42499999999242
4.4,-139.65000000000373,-171.30000000000587
4.5,-137.0,-143.79999999999697
4.6000000000000005,-119.10000000000426,-142.77500000000683
4.7,-117.0,-151.9999999999929
4.800000000000001,-128.06666666666413,-148.0
4.9,-140.29999999999768,-142.7000000000088
5.0,-149.70000000000053,-148.19999999999948
5.1000000000000005,-185.59999999999715,-150.19999999999857
5.2,-234.0,-183.0
5.300000000000001,-237.06666666666413,-224.70000000000232
5.4,-269.2999999999977,-253.3999999999993
5.5,-249.40000000000106,-250.39999999999893
5.6000000000000005,-249.2999999999986,-261.0
5.7,-256.2749999999986,-254.0
5.800000000000001,-255.63333333333776,-272.1999999999943
5.9,-246.3999999999975,-237.3999999999975
6.0,-252.3999999999993,-220.79999999999254
6.1000000000000005,-271.7999999999968,-200.59999999999397
6.2,-266.39999999999895,-175.8999999999993
6.300000000000001,-266.6000000000057,-167.59999999999397
6.4,-281.0,-152.00000000000355
6.5,-273.7999999999986,-103.99999999999467
6.6000000000000005,-258.74999999999403,-71.80000000000213
6.7,-251.39999999999893,-55.19999999999858
6.800000000000001,-166.39999999999432,-64.19999999999769
6.9,-159.6000000000025,-35.0
7.0,-115.40000000000285,-48.199999999990766
7.1000000000000005,-135.250000000006,-49.250000000006
7.2,-140.0,-40.50000000000888
7.300000000000001,-121.66666666666983,-24.125000000008548
7.4,-104.12500000000466,-19.40000000000284
7.5,-98.0,-39.80000000000142
7.6000000000000005,-83.00000000000267,-35.0
7.7,-88.50000000000134,-57.40000000000462
7.800000000000001,-127.66666666666035,-46.19999999999432
7.9,-216.37499999999267,-82.89999999999938
8.0,-274.9999999999965,-123.10000000000151
8.1,-287.9999999999991,-137.00000000000134
8.200000000000001,-298.5000000000022,-172.12499999999568
8.3,-296.0,-207.90000000000197
8.4,-277.4999999999973,-188.60000000000284
8.5,-254.0,-211.39999999999537
8.6,-250.0,-222.5999999999954
8.700000000000001,-224.00000000000932,-175.84999999999462
8.8,-228.93333333332637,-44.599999999992185
8.9,-168.0,-50.500000000006665
9.0,-162.80000000000214,-6.499999999998224
9.1,-96.7999999999968,3.400000000002842
9.200000000000001,-35.800000000009234,-10.300000000001244
9.3,-0.5333333333320701,-67.80000000001812
9.4,-8.599999999999644,-140.0
9.5,-6.599999999998934,-152.0
9.600000000000001,-12.0,-129.0
9.700000000000001,-5.599999999995381,-23.49999999999334
9.8,-0.5333333333320701,43.0
9.9,-3.400000000000355,37.2999999999936
10.0,-4.0,23.625000000005997
10.100000000000001,-70.29999999999947,-127.00000000000355
10.200000000000001,-119.30000000000125,-242.50000000001154
10.3,-232.79999999998864,-199.29999999999592
10.4,-194.30000000000302,-121.0
10.5,-250.0,-38.39999999999751
10.600000000000001,-226.0,96.50000000000267
10.700000000000001,-248.30000000000123,0.0
10.8,-243.20000000001136,-5.799999999996803
10.9,-132.32499999998566,-101.0
11.0,-59.97500000000186,-234.8999999999984
11.100000000000001,-72.875000000002,-293.2500000000107
11.200000000000001,-86.0,-185.77499999998398
11.3,-173.5000000000142,-113.90000000000036
11.4,-246.80000000000427,-25.249999999993783
