,Lisa,Ole
0.0,-306.1000000000015,-396.19999999999607
0.1,-332.0,-390.0
0.2,-333.42500000000405,-393.7000000000015
0.30000000000000004,-318.9333333333341,-373.9750000000033
0.4,-316.0,-354.6000000000021
0.5,-322.00000000000176,-375.5500000000003
0.6000000000000001,-310.0000000000009,-346.4999999999991
0.7000000000000001,-339.99999999999744,-311.40000000000185
0.8,-359.0,-330.4500000000007
0.9,-359.0,-339.6999999999973
1.0,-374.50000000000665,-343.0
1.1,-367.0,-363.0
1.2000000000000002,-385.0000000000027,-373.32500000000186
1.3,-364.333333333334,-388.89999999999907
1.4000000000000001,-373.9999999999988,-370.0000000000007
1.5,-337.00000000000176,-383.99999999999466
1.6,-357.0000000000009,-370.8000000000048
1.7000000000000002,-323.74999999999,-374.0
1.8,-316.0,-371.6000000000006
1.9000000000000001,-342.9000000000018,-359.0
2.0,-382.0,-369.29999999999944
2.1,-388.19999999999874,-370.6000000000029
2.2,-404.1999999999995,-349.00000000000534
2.3000000000000003,-398.8000000000052,-358.49999999999824
2.4000000000000004,-421.0,-352.60000000000997
2.5,-413.32500000000357,-344.1999999999979
2.6,-403.80000000000126,-379.39999999999895
2.7,-397.60000000000105,-395.79999999999785
2.8000000000000003,-414.8999999999977,-392.9999999999871
2.9000000000000004,-421.0,-389.7999999999968
3.0,-424.8000000000041,-402.6999999999981
3.1,-410.0,-405.749999999995
3.2,-410.90000000000094,-404.09999999999894
3.3000000000000003,-400.66666666665856,-398.19999999999345
3.4000000000000004,-324.54999999999416,-377.35000000001224
3.5,-305.8000000000023,-405.19999999999857
3.6,-351.7999999999968,-388.59999999999576
3.7,-383.60000000000105,-350.2000000000032
3.8000000000000003,-406.0,-356.1999999999981
3.9000000000000004,-402.0,-361.00000000000534
4.0,-411.3500000000017,-330.99999999999557
4.1000000000000005,-386.80000000000126,-311.9999999999902
4.2,-396.8000000000005,-334.0249999999993
4.3,-391.0666666666677,-339.699999999999
4.4,-385.8000000000021,-326.40000000000424
4.5,-395.70000000000056,-335.200000000003
4.6000000000000005,-402.0,-374.67500000000433
4.7,-375.2999999999992,-355.0
4.800000000000001,-375.4333333333264,-345.999999999992
4.9,-371.0,-371.67500000000217
5.0,-379.624999999998,-363.09999999999974
5.1000000000000005,-368.8999999999957,-364.80000000000143
5.2,-368.4000000000016,-389.2999999999974
5.300000000000001,-406.26666666665653,-391.40000000000464
5.4,-398.0,-381.3999999999993
5.5,-398.0,-402.79999999999785
5.6000000000000005,-385.2999999999986,-437.99999999999557
5.7,-383.2999999999992,-496.6000000000007
5.800000000000001,-386.93333333333584,-585.0
5.9,-383.19999999999254,-623.3999999999975
6.0,-388.4000000000028,-576.4999999999907
6.1000000000000005,-406.0,-592.600000000009
6.2,-417.0,-523.1000000000007
6.300000000000001,-410.6000000000021,-552.3000000000045
6.4,-412.30000000000433,-522.9999999999911
6.5,-401.2000000000014,-506.00000000000176
6.6000000000000005,-375.2000000000032,-431.1999999999979
6.7,-336.5500000000019,-484.19999999999857
6.800000000000001,-313.6000000000057,-521.1999999999977
6.9,-328.69999999999567,-536.8750000000086
7.0,-316.7999999999986,-539.2999999999977
7.1000000000000005,-348.2000000000032,-524.6500000000044
7.2,-387.39999999999895,-542.0
7.300000000000001,-394.6666666666698,-534.0
7.4,-372.37499999999267,-551.1999999999944
7.5,-387.5000000000009,-569.0
7.6000000000000005,-401.4999999999987,-561.0999999999945
7.7,-405.500000000004,-573.7999999999977
7.800000000000001,-386.0,-570.8999999999975
7.9,-403.37499999999267,-564.4749999999983
8.0,-542.0,-535.6999999999955
8.1,-528.3750000000013,-554.0
8.200000000000001,-593.4999999999933,-627.6000000000046
8.3,-580.3333333333302,-591.7000000000058
8.4,-585.9999999999947,-638.8000000000014
8.5,-536.4999999999991,-648.9500000000063
8.6,-536.9999999999991,-670.7000000000023
