,Lisa,Ole
0.0,-875.2249999999958,-877.9750000000054
0.1,-868.8999999999999,-871.5999999999979
0.2,-881.0,-845.4750000000026
0.30000000000000004,-879.8999999999997,-858.0
0.4,-846.0,-845.3000000000038
0.5,-875.9999999999982,-895.6000000000001
0.6000000000000001,-871.9999999999991,-901.0
0.7000000000000001,-889.9999999999975,-881.0
0.8,-848.666666666668,-862.0
0.9,-865.9999999999985,-922.0750000000074
1.0,-866.0000000000035,-882.699999999999
1.1,-842.7500000000017,-870.2000000000016
1.2000000000000002,-841.7499999999927,-878.0
1.3,-831.0,-890.1000000000009
1.4000000000000001,-869.9999999999984,-876.7499999999982
1.5,-860.0000000000018,-881.5000000000031
1.6,-855.0000000000005,-884.7250000000066
1.7000000000000002,-897.9999999999974,-890.1999999999995
1.8,-889.0,-883.5999999999987
1.9000000000000001,-889.3999999999927,-880.0250000000011
2.0,-826.800000000004,-870.0
2.1,-827.0,-882.1999999999912
2.2,-830.600000000001,-891.9999999999974
2.3000000000000003,-848.7999999999987,-901.0
2.4000000000000004,-850.0,-905.7999999999926
2.5,-822.800000000004,-843.4000000000011
2.6,-835.0,-857.3000000000005
2.7,-844.1999999999995,-879.3499999999984
2.8000000000000003,-855.5999999999974,-874.3500000000045
2.9000000000000004,-839.0749999999985,-840.5750000000012
3.0,-835.0,-849.3000000000019
3.1,-841.4750000000017,-860.0000000000026
3.2,-842.2999999999986,-864.0999999999989
3.3000000000000003,-828.8666666666634,-846.1999999999935
3.4000000000000004,-853.250000000008,-825.9999999999893
3.5,-823.0,-862.0
3.6,-856.4000000000024,-891.7000000000021
3.7,-897.0,-876.5999999999956
3.8000000000000003,-832.0666666666683,-846.3999999999994
3.9000000000000004,-831.1999999999979,-902.5000000000014
4.0,-837.0499999999937,-900.4999999999977
4.1000000000000005,-835.8000000000012,-888.1999999999961
4.2,-825.399999999999,-887.699999999999
4.3,-850.7999999999969,-917.0
4.4,-842.3999999999958,-937.9999999999893
4.5,-842.0,-866.0
4.6000000000000005,-869.2999999999986,-872.3000000000075
4.7,-847.2999999999992,-878.0
4.800000000000001,-842.9333333333359,-907.0000000000053
4.9,-850.0,-904.0999999999971
5.0,-868.8000000000021,-888.8000000000005
5.1000000000000005,-845.2999999999986,-856.5999999999957
5.2,-808.2999999999992,-850.7000000000025
5.300000000000001,-834.5000000000094,-869.899999999993
5.4,-877.7000000000023,-868.7999999999986
5.5,-842.0,-854.399999999999
5.6000000000000005,-846.7000000000014,-801.6250000000083
